site.Country;site.LatDD;site.LongDD;site.SiteName;site.SiteCODE;sample.SampleCODE;ecofig.Aquatics;ecofig.Carrion;ecofig.Disturbed/arable;ecofig.Dry dead wood;ecofig.Dung/foul habitats;ecofig.General synanthropic;ecofig.Halotolerant;ecofig.Heathland & moorland;ecofig.Indicators: Coniferous;ecofig.Indicators: Deciduous;ecofig.Indicators: Dung;ecofig.Indicators: Running water;ecofig.Indicators: Standing water;ecofig.Meadowland;ecofig.Mould beetles;ecofig.Open wet habitats;ecofig.Pasture/Dung;ecofig.Sandy/dry disturbed/arable;ecofig.Stored grain pest;ecofig.Wetlands/marshes;ecofig.Wood and trees;sample.CalAgeEarliest;sample.CalAgeLatest;sample.Total Of Abundance
England;52.21667;0.1533333;Barnwell Station;SITE000045;SAMP000083;8.33;0;8.33;0;0;0;0;25;0;0;0;0;0;25;0;0;0;16.67;0;8.33;8.33;25273;22192;12
England;52.21667;0.1533333;Barnwell Station;SITE000045;SAMP000084;0;0;5.88;0;0;0;5.88;17.65;0;0;0;0;0;17.65;0;17.65;0;23.53;0;5.88;5.88;25273;22192;17
England;52.21667;0.1533333;Barnwell Station;SITE000045;SAMP000086;0;0;0;0;0;0;0;0;0;0;0;0;0;66.67;0;0;0;0;0;33.33;0;25273;22192;3
England;52.21667;0.1533333;Barnwell Station;SITE000045;SAMP000087;0;20;0;0;0;0;0;20;0;0;0;0;0;20;0;0;0;0;0;20;20;25273;22192;5
England;52.21667;0.1533333;Barnwell Station;SITE000045;SAMP000082;10;10;0;0;10;0;10;10;0;0;0;0;0;10;0;0;10;10;0;10;10;25273;22192;10
France;47.73333;6.503889;La Grande Pile;SITE000721;SAMP003124;20;2.86;8.57;0;2.86;2.86;2.86;8.57;0;2.86;0;0;5.71;8.57;0;5.71;2.86;5.71;0;8.57;11.43;24265;23862;35
England;53.69167;0.0825;Dimlington;SITE000163;SAMP000302;4.55;6.82;4.55;0;6.82;6.82;6.82;11.36;0;0;0;0;0;6.82;0;9.09;6.82;6.82;0;13.64;9.09;22606;21643;44
England;53.58556;-0.5875;Yarborough Quarry;SITE000672;SAMP001798;7.41;3.7;6.17;0;4.94;4.94;3.7;7.41;0;0;0;0;2.47;9.88;0;6.17;3.7;6.17;0;20.99;12.35;19629;7709;81
Wales;52.91083;-4.298889;Glanllynnau;SITE000234;SAMP000465;0;5.26;7.89;2.63;5.26;2.63;7.89;13.16;0;0;0;0;0;10.53;0;2.63;7.89;10.53;0;10.53;13.16;18371;16797;38
Sweden;56.28333;12.53333;Björkeröds Mosse;SITE000755;SAMP001993;0;8.33;8.33;0;8.33;8.33;8.33;8.33;0;0;0;0;0;8.33;0;8.33;8.33;8.33;0;8.33;8.33;18329;15985;12
England;52.33667;-2.280278;Wilden;SITE000656;SAMP001750;20;10;0;0;10;0;10;10;0;0;0;10;0;0;0;0;10;0;0;10;10;17745;16467;10
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004295;7.84;3.92;3.92;0;3.92;5.88;7.84;5.88;0;0;1.96;0;1.96;11.76;0;5.88;3.92;7.84;0;11.76;15.69;17641;16866;51
Lithuania;57.33333;25.38333;Raunis;SITE000943;SAMP005107;0;0;6.67;0;0;6.67;13.33;6.67;0;0;0;0;0;6.67;0;6.67;0;6.67;0;20;26.67;17637;14534;15
